product_id,title,description,brand,category
11,HP1044 SAUER TUROLLA PUMP,"HP1044 Hydraulic pump is an original Danfoss© part produced in Germany. It has been engineered to superior standards, and is compatible with Sandvik© original specifications. HP1044 Sauer Turolla Pump is a reliable and efficient hydraulic pump designed for optimal performance in demanding industrial environments. With its precision engineering and durable construction, it delivers consistent hydraulic power to meet the needs of various applications with reliability and longevity. The unit weight is 12.5kg. HS code 8474909000. Continue exploring our store, for more PEAK quality parts!",,
12,"9641620A 4-Piece Kit A/C Compressor, With Clutch, 6-Groove Pulley, 2.4L, 4Cyl, GPD A/C Compressor, Includes (1) A/C Compressor, (1) A/C Expansion Valve, (1) A/C O-Ring and Gasket Seal Kit and (1) A/C Condenser",Specifications Type A/C Compressor OE number 10670 Quanity sold Sold Individualy Product Fit Direct Fit Vehicle Fit 2011HyundaiSonata(GL) 2011HyundaiSonata(GLS) 2011HyundaiSonata(Limited) 2011HyundaiSonata(SE) 2011KiaOptima(EX) 2012KiaOptima(EX) 2011KiaOptima(LX) 2012KiaOptima(LX),,
13,PHILIP PN SMS Z 10X7/8,"Brand Name: HILLMAN Callout Size: No. 10 Color: Silver Container Size: Finish: Zinc-Plated Head Type: Pan Length: 7/8 Packaging Type: Boxed Point Type: Sharp Product Type: Sheet Metal Screws Self Drilling: No Self Tapping: Yes Sub Brand: Thread Type: Coarse Drive Style: Phillips Indoor or Outdoor: Indoor Material: Steel Number in Package: 100 Usage: Wood, Fiberglass and Metal",,
14,Vortex RL210 Black 1 Bar Roof Rack,"Utilising our highly regarded Vortex bars, this system offers you compatibility with a wide selection of Rhino-Rack accessories. So whether you're a traveller, cyclist, surfer or tradesperson - this roof rack system has you covered. Features: Removable Easy to install / remove Strong and built to last Suitable for heavy off-road use Compatible with a wide range of accessories Tested and approved to Australian Standard AS1235-2000",,
15,3pcs LM317 DC-DC Converter Buck Step Down Module Linear Regulator Adjustable Voltage Regulator Power Supply Board,"Feature: Output Current: 1.5A (minimum), 2.2A (typ) Input and output voltage difference (VI-VO): 40Vdc (max) Adjustable output voltage range: 1.2 ~ 37V Operating temperature: -55 to +150 Output Current: 1.5A Input voltage: 4.2 ~ 40 V Characteristics Frequency: 100 (MHz) Module size: 35.6 (mm) x16.8 (mm) Input: VIN positive input stage, GND negative input Output: VOUT output positive level, GND output negative Maximum output current: maximum output current = 3 / (Input voltage - output voltage) Applications: Mobile phone, MP3, MP4, PSP and much other charging equipment Package includes: 3 x Adjustable Linear Regulator",,
16,Baby Carrier Front Hold Baby Sitting on Lumbar Stool,Color classification: Sakura powder [pure cotton] breathable and comfortable mint blue [pure cotton] breathable and comfortable star blue [pure cotton] breathable and comfortable cherry powder [pure cotton] single stool mint blue [pure cotton] single stool star blue [pure Cotton] Single Stool Cherry Blossom Powder [Pure Cotton] Single Strap (without stool) Mint Blue[Pure Cotton] Single Strap (without stool) Star Blue [Pure Cotton] Single Strap (without stool) Wassil Blue[Polyester Cotton] Four Seasons Enjoy Light Peach Powder【Polyester Cotton】,,
17,Cargo Trouser Pants,"These Cargo Trouser Pants offer a practical and stylish solution for your everyday wardrobe. Featuring multiple pockets for convenient storage, these pants are perfect for busy days on the go. The durable and comfortable fabric ensures long-lasting wear, making these pants a reliable choice for any occasion. Upgrade your wardrobe with these versatile Cargo Trouser Pants.",,
18,Maternity Maxi Copper Tencel Panel Skirt,"Ladies maxi maternity copper tencel panel skirt with wide adjustable elastic waistband. ֲ Available in the following colors: Midnight Blue Black Composition: 100% Rayon Knit Washing Instructions: MACHINE WASH COLD, INSIDE OUT, NO CHLORINE BLEACH, HANG TO DRY",,
19,2018 Autumn Girl,,,
20,Mithai & More Thabdi Penda 250 gms And 500 gms,"A must try milk-based fudge, our succulent Thabdi Penda makes for a luxurious treat. Originating from Saurashtra, Gujarat, Thabdi Penda is an Indian sweet delight, prepared with Khoya, full cream milk and sugar. Pure ghee brings out the flavour of the sweet with perfection. The traditional sweet is popularly consumed during festivals and religious events. Available in 2 variants of 250 gm and 500 gm for you to choose from. Relish the delicious Thabdi Penda with your loved ones on significant celebrations including Birthdays and festivals such as Raksha Bandhan, Christmas, Diwali, Holi, New Year and Id. Shelf Life 25 Days Container Type Box Food Preference Vegetarian",,
21,Brizo Touch-Clean<sup>®</sup> Square Body Spray 84121-SL,"Brizo body sprays with Touch-Clean® Technology will surround you in water and engulf you in a fluid state. FEATURES 1/2"" rough-in Surface mount Body spray has 30˚ up and down spray adjustment Finished spray face",,
22,SÚPER FALLEROS (50),"Contingut: Caixa de 25 trons. Efecte: Tro 0,30 grams per peça. Nivell: 5/12 Categoria: F2 COMANDES I RECOLLIDES Segons la legislació vigent els productes pirotècnics de qualsevol categoria no es poden enviar a domicili, per la qual cosa la recollida s’haurà d’efectuar a la botiga. Només cal portar el resguard de compra i la comanda es pot recollir sense esperar.",,
23,C4M Pouch Enhancing Thong Pearl Extra Large,As the name implies the Cut4Men Enhanced Thong offers you unmatched comfort thanks to the ergonomically designed front pouch to enhance your manhood giving you a larger appearance to your masculinity. Natural push up and out effect 93% Polyester /7% Elastane Extremely sexy and flattering Soft seams for comfort Perfect balance of elasticity and support so everything stays in place,,
24,DCMASBC1N XR FlexVolt Brushcutter Attachment,"The DEWALT DCMASBC1N XR FlexVolt Brushcutter Attachment has a 20cm blade made of unique DEWALT Steel for fast effective cutting, with 4 tips for efficiency. Fitted with a guard that protects against flying debris. Part of the DCMAS57 XR FlexVolt Split Boom System; fits both DEWDAS5713X1 and DEWDCAS5713N.",,
25,"EDEL RECORDS RADIO STATION PRAVO, PATTY","EDEL RECORDS RADIO STATION PRAVO, PATTY Nome dell'articolo: stazione radio Tipologia di prodotto: ABIS_MUSIC Marca: EDEL RECORDS",,
26,Prince Lionheart My Twist'r Diaper System,"Prince Lionheart My Twist'r Diaper System Welcome to the new age of diaper disposal – the revolutionary and incredibly user-friendly My Twist’R® Diaper Pail. Developed with busy parents in mind, this product makes diapering easy and efficient without any tedious steps. Our Outsmarts Odors™ system traps odors, while our patented Drop. Step. Done® system seals shut waste without cutting or tying off anything! Say goodbye to smelly nurseries and spending time cleaning up pails – My Twist'R does it all so that you can focus on taking care of your baby. Plus, it’s stylish design fits right into any nursery so that you don't have to sacrifice beauty for utility. What’s more is that this wonderful product is strong enough to handle years of use, making sure that even after countless diaper changes, it still looks as good as new! Be prepared for your upcoming adventures in parenting - purchase the My Twist'R today! It’ll be the one thing out there that won’t add to your stress. Smart - Outsmar",,
27,のぼり旗 抽選場 W45×H180cm 金巾[1入],サイズ：W45×H180cm 素材：金巾 入数：1枚,,
28,"Alpha® T 20 Dog Collar, Dog Tracking Collar","TRACK YOUR PACK No matter what kind of dogs you run or how you hunt, Alpha® T 20 is the slim, rugged and universally sized collar designed to help you build a better dog — no matter the breed. Track your dog up to 14.5 kilometers when used with a compatible handheld (sold separately). Optimise your battery life with dynamic tracking. Collar is universally sized to fit large and small breeds. Easily change the user-replaceable flex band. Uses multicolour location beacon for low-light conditions. Get automatic software updates when charging and connected to your network with Wi-Fi® technology. WHAT YOU'LL LOVE TRACKING The top-mounted, high-sensitivity GPS and Galileo receiver keeps track of your dog’s location, and the Alpha® T 20 collar transmits that location via VHF up to 14.5 kilometers away with updates as frequent as every 2.5 seconds when used with a compatible handheld (sold separately). UNIVERSAL SIZING A rugged yet slim design is universally sized to fit large and small breeds",,
29,"BOLLARD IP66 MODIS OPTICS 1000MM LED 20W LED WARM-WHITE 3000K CASAMBI URBAN GREY | Urban grey, Transparent | Outdoor | AS15-18W9S3XBZ5",LedsC4 Modis Optics 1000mm AS15-18W9S3XBZ5V1 Bollard for outdoor use. Includes 2 cable outlets to facilitate chain mounting. The optical module can easily be rotated 360 º. Structure material: Aluminium. Structure finish: Urban grey. Diffuser material: Glass. Diffuser finish: Transparent. UV protection. Warranty: 5 Years. Product net weight (Kg): 0 Product width or diameter (mm): 140 Product height (mm): 1000 Product aperture (mm): 190 Class 1. IP: IP66. IK: IK10. LED. No. of lampholders or LEDs: 1. LED brand: SAMSUNG. Maximum power of light source: 18.3W. Colour temperature: 3000K. Colour rendering index: 92. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR: 2.7. Photobiological risk: RG1. % de Flickering: +/- 5%. Real flux (lm): 1680. Real lm/W: 84. Voltage / frequency range: 220-240/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 20. Power factor: 0.95. Dimmable equipment included: CASAMBI.,,
30,Hand Forged Medieval Battle Axe,A battle axe is an axe specifically designed for combat. Knights often fought with battle axes when they were on foot. The battle axe struck with force could apply significant injury to a knight in armor. The weapon was primarily used as a cutting weapon and capable of cutting off the limbs of an enemy in one stroke. The handle is constructed of wood that has been stained. This one handed axe can be used for display or the finishing accessory to a period costume or re-enactment. Specifications: Overall Length: 16 Inches Blade Lengths: 6 Inches Handle Material: Wood,,
31,NGK 2016-09 Toyota Venza COP Pencil Type Ignition Coil,"NGK ignition coils are manufactured to meet or exceed OE standards for the highest durability and operational performance, so they can be installed with confidence. NGK and their family of automotive products have over 80 year's experience and are driven by extreme dedication to innovation, performance and quality. Developed and rigorously tested in our ISO 17025 accredited test lab under the most extreme conditions, NGK's coil designs will outperform all others - far beyond operational environments a vehicle would actually experience This Part Fits: Year Make Model Submodel 2007-2018 Lexus ES350 Base 2007-2015 Lexus RX350 Base 2013-2015 Lexus RX350 F Sport 2010-2015 Lexus RX450h Base 2016-2018 Lotus Evora 400 2010-2014 Lotus Evora Base 2013-2014 Lotus Evora S 2011-2012 Toyota Avalon Base 2005-2018 Toyota Avalon Limited 2005-2008,2016-2018 Toyota Avalon Touring 2005-2010 Toyota Avalon XL 2013-2018 Toyota Avalon XLE 2016-2018 Toyota Avalon XLE Plus 2013-2018 Toyota Avalon XLE Premium 20",,
32,"AE30M-Ft-01 Audio Signal Indicator, 90dB, 14V, IP34 MOFLASH Signalling","MOFLASH SIGNALLING - AE30M-FT-01 - Audio Signal Indicator, Industrial, Low Frequency, 90dB, 450Hz, 14VDC, 30mA, IP34, 35mm Ext. Depth Supply Voltage V AC: - Supply Voltage V DC: 14V Tones: Low Frequency Sound Level SPL: 90dB IP / NEMA Rating: IP34 Product Range: - Resonant Frequency: 450Hz Current Consumption: 30mA External Depth: 35mm Operating Temperature Min: -20°C Operating Temperature Max: 60°C SVHC: No SVHC (15-Jun-2015)",,
33,"Snap Hoop Monster 4""x4""","Snap Hoop Monster 4""x4"" Easy to use magnetic frame! Experience the effortless one step method to hoop and align fabrics. The secret of this magnetic hoop is in the patented design. It's perfect for Terry cloth Bulky fleece Quilt sandwiches Heavy fabrics Continuous embroidery Allover embroidery Easily make adjustments to hooped fabrics. The Snap Hoop Monster is easy to use and offers pain-free hooping with no hand strain! Stop hoop burn and master allover embroidery and multiple hoopings. With the Snap Hoop Monster you can stitch all the way to the edge of your fabric.",,
34,"Anrichte DKD Home Decor natürlich Weiß Mango-Holz (193 x 40,6 x 91,4 cm)","Wenn Sie Ihrem Zuhause einen Hauch von Originalität verleihen möchten, tun Sie dies mit Anrichte DKD Home Decor natürlich Weiß Mango-Holz (193 x 40,6 x 91,4 cm) . Farbe: Weiß natürlich Türen: 4 Regale: 2 Regale Material: Mango-Holz Design: Stern Mediterraner Maße ca.: 193 x 40,6 x 91,4 cm",,
35,Comunicador WIFI para Alerta Sismica,Marca: YONUSA SKU: YAS-WIFI Solución de YONUSA para tu hogar o negocio.,,
36,Software de Automatización Radio,"AVRA. Es un software de automatización de radio avanzado con capacidad de reproducción de video HD (720p) y software de mezcla de video de 6 canales con CG y generador de gráficos integrados para agregar el logotipo de la estación, rastreo de noticias, información meteorológica y leyendas personalizadas. AVRA incluye un codificador de video H.264 (720p) con salida RTMP para proveedores de servidores Flash / Wowzastreaming. AVRA es la evolución de la Radio. Al agregar las capacidades del servidor de video, aparece un nuevo mundo de oportunidades para los organismos de radiodifusión, el público y los clientes. AVRA está diseñado para funcionar con redes sociales como Skype, Youtube, Facebook y Twitter. Ideal para emisoras que buscan entrar en la nueva era de transmisiones de 'Radio Multimedia' (audio + video en línea). Incluye interfaz de selección de cámara automática Smart CAM. Conecte esta caja USB a las salidas GPO de su consola de audio y deje que el mezclador AVRA HDV cambie las cá",,
37,GT-Lite inkl. Vibrationsmotoren,"Eigenschaften: Originalgetreuer Rennsitz: Unser Premium-Schalensitz aus Fiberglas wurde exklusiv für GT-Rennen entwickelt und spiegelt das Erlebnis eines echten Rennwagens mit authentischer Polsterung für ein enges, realistisches Gefühl wider. Stabile Stützstruktur Unsere stabile Stützstruktur wurde entwickelt, um auch bei starken Bremsmanövern Sicherheit und Komfort bei langen Fahrten zu gewährleisten. M-DVF-Vibrationskompatibilität: Erleben Sie lebensechte Vibrationen mit einstellbaren Frequenzen (20-50 Hz) in sieben Intensitätsstufen. Die CONSPIT Link-Funktion ist ebenfalls verfügbar, genau wie bei unserem FPLITE-Modell. Anpassungsoptionen: Erweitern Sie Ihr Setup mit integrierten Monitorständern, Schalthebelhalterungen, Becherhaltern, Tastaturablagen und Maushaltern. Pro-Racing-Haltung: Unser Simulatorsitzrahmen der CONSPIT GT-Serie bietet umfangreiche Einstellmöglichkeiten für die perfekte Rennhaltung: Höhe und Winkel des Pedalsockels Winkel des Monitorständers Sitzposition (vorne",,
38,Hertz HRC BM2,Hertz HRC BM2 Bassfjernkontroll For å justere bassnivå. Passer til Hertz Marine Venezia -20 / +6dB justering for å tilpasse bass til personlig referanse VENEZIA V1 VENEZIA V1 24V VENEZIA V4 VENEZIA V5 VENEZIA V6 VENEZIA V6 24V VENEZIA V5C,,
39,"Dominant Rosin, Violin/Viola","Music strings of the highest quality this is both the incentive and obligation of Thomastik-Infeld. Based in the heart of Vienna, we have been developing and producing strings with the vastest range of tone colors since 1919, for bowed, plucked and world music instruments.",,
40,Bachmann Thomas & Friends 58744BE Gordon The Express Engine No 4 Steam Loco - OO Gauge,"DETAILS Gordon is a blue 4-6-2 ('Pacific' wheel arrangement) steam engine with the number 4 painted on his tender. Gordon first appeared in the 1st book in Reverend Wilbert Awdry's The Railway Series, entitled 'The Three Railway Engines,' in 1945 and two other books in the series are dedicated to him, No.8 'Gordon the Big Engine' and No.31 'Gordon the High Speed Engine.' He pulls the Express Coaches on the mainline. Other Locomotives , Coaches and Wagons are available to complete your Thomas The Tank Engine collection. FEATURES Moving eyes Realistic resemblance to the character in the series Compatible with OO/HO gauge track and model railways DCC ready 3+ compliant Suitable for young Thomas & Friends(TM) fans",,
41,Lovely Annie 1 Piece Women's Microfiber Hair Drying Towel/Cap/Hat Purple,"80% Women use electrical hair dryer after hair wash which causes damage to the fragile hair and as a result the hair become dried, broken and lose its natural luster after a while. This hair towl could dry your hair naturally and prevent damge to the health of your hair and make it look smooth and naturall! This microfiber hair drying towel can reduce the bacteria growth with the quick drying time and has a very soft touch on your hair! Funtions: Deep Cleaning Super Absorbent Gentle on Skin Microfiber Towel Pattern Multiple Colors Funtions: Size: 25 cm X 65 cm Weight Per Piece: 99.8 g Colors: Coral, Pink, Yellow and Purple",,
42,"New York Jets Tumbler 40oz Png, 40oz Tumler Png 87","40oz Tumbler Wrap template print sublimation PNG / instant download / high quality Commercial Use? You may sell creations you make with this file, so long as the end product is physical. You may not resell or give away this file in any way shape or form. I can always support you. Just write to me about any problems My files can also be used on printable vinyl, heat transfer paper, waterslides, you are only limited to your imagination! INSTANT DOWNLOAD -Contains the PNG files in High-resolution files. -This listing is for a digital download. No physical product will be shipped. Please contact me if you have any trouble with the files. I always want to ensure a happy customer. Happy crafting and thanks for visiting my shop.",,
43,"2PCS Retainer Case with Mirror and Adjustable Vent Holes, Cute Slim Aligner Case Compatible with Invisalign, Night Mouth Guard Case, With Retainer Remover Tool, Chew & Brush, White+White","Brand: Heigoeost Color: Round: White+White Features: PORTABLE RETAINER CASE WITH MAGNETIC CLOSE - These travel retainer cases are 3.15 in diameter × 1.1 in height, slim and lightweight. You can put these retainer holders in your purse, bag, lunch box and pocket. The magnetic closure keeps the case securely closed to ensure the safety of your aligner. ENOUGH INTERIOR SPACE - We went through a lot of research before designing these aligner cases to ensure they fit all aligner brands such as Invisalign. It can even accommodate retainer accessories such as an Invisalign remover tool, aligner chewies and Dental floss while storing your retainers. PREMIUM MATERIAL - These nightguard cases are made of food-grade ABS. Not only aligner, but you can also use these nightguard cases to store your wire retainer, partial denture, mouth guard, night guard and even your other small items. USER-FRIENDLY DESIGN - Built-in mirror helps you easily put on and take off the retainer and check if food is stuc",,
44,[Pre-order] YaHaHa with LED -ShenYin Studio,"Studio: ShenYin Studio Product Role: YaHaHa Size:23*18*18CM Price:129USD Deposit:69USD Release date:Q1 2025 Please check the policies on the page before the purchase Installment payments plan (Important） we will send invoice to your Paypal every 15th per month Deposit: 69USD(Paid now) Price: 129USD When product is ready for shipment, we will sand invoice to your Paypal to pay the shipping cost. First month: 60USD Estimated shipping cost（US,CA/AU, EU. UK）(Important) USA 40USD CA/AU 45USD EU USD UK 45USD If your region is not in the table, please message us for a shipping quote. The shipping cost will not exceed our maximum estimate, We will cover the excess parts. All of the delivery methods we utilize are based on standard delivery ( Air Freight less than 15days, Ocean Freight less than 20days.) If you require a FASTER method or CHEAPER method, please feel free to message us.",,
45,Coentros,Preço por meio quilo,,
46,Bodyworx T-Bar Trainer for Machines,"Key Features T-Bar trainer LBRT10 fits onto L314SR, L315SR, L415SR, L470HR, LU475PC & C516RS. Only applies to 2016 stock. Attaches to the main frame of all these products with two bolts. Internal double bearings for smooth rotation. Handle bar kits (LBRTKIT) available for olympic bars. Assembled Dimensions: 30cm (L) x 15cm (W) x 12cm (H).",,
47,Mat for Cup PVC Tea Coaster Non-Slip Placemat High Temperature Insulation Pad Hollow Pot Mat Bowl with Anti-hot,"4042 Cup Mat PVC Tea Coaster Non-Slip Placemat High Temperature Insulation Pad Hollow Pot Mat Bowl with Anti-hot Description :- KEEP YOUR TABLE : Scratch and stain free coaster set suits all sizes of mugs, bottles, cups and glasses - keeping your kitchen, furniture, table or countertop safe, dry and scratch free, Avoid those annoying condensation rings on woodwork with our thick, heat resistant drinks mats. ROUND PLACE-MAT : See picture details, enough to hold any cup or bowl, protect the tabletop from hot plate marks, scratches and stains from food or cups. MATERIAL : Made of silicon it gives the placemat a soft touch, odorless and durable. EASY TO CLEAN : The table mat is sticky with stains, available kitchen cleaning fluid, soak, gently scrub the surface, and then rinse with water, easy to dry. BEAUTIFUL DECORATION AND BEAUTY : Ideal for decorating the kitchen, living room, bedroom or office, Great for sending as a gift to a friend. Similar SKU Also 4051 Dimension :- Volu. Weight (G",,
48,Ricambio cartuccia gesso bianco Prym rotella parallela 610956 mouse segnare,"RICAMBIO BIANCO per Rotella Ricambio facilmente sostituibile grazie all'inserto a scatto e corredate di gesso e di una nuova rotella dentata. Per Rotella per sarti Mouse (610950), Rotella parallela per cartamodelli (610943), Rotella per sarti Stick (610955) (art.610956) ! ! ! GUARDA IL VIDEO SU YOU TUBE ! ! ! http://www.youtube.com/watch?v=WQAWlGEB9Lc le foto contenute in questo sito sono di nostra produzione e quindi di nostra esclusiva proprietà e pertanto sono protette dalle norme sul diritto d'autore legge 633/41; dpr 19/79; Dlgs 154/97",,
49,"LST1455H Vintage Hammered Steel 14 x 5,5","TAMA S.L.P. Vintage Hammered Steel - LST1455H Satin Chrome finsh. Dimension 14"" x 5,5"". Vintage Hammered Steel stommen har en ovanligt kärnig och fyllig klang. Den relativt tunga stålstommen på 1,2 mm skvallrar om god kvalitet och hammringen ger stadga och djupare klang. Sejarsvaret har en distinkt, något torr prägel men med tydlig och frasig topp. LST1455H har Sound Arc stämsargar som ger stadga åt kantslag och spelkänslan är inte olik virvlar med tjockare mässingstomme. Sammantaget är Vintage Hammered Steel en lyckad allround virvel som vet att föra sig både i softare och mer högljudda sammanhang. Stomme - 14""x5,5"", Hammered Steel 1,2 mm i matt kromfinish. Sargar - 10 håls Sound Arc stämsargar. Stämhus - Brass Tube Lugs. Sejarmekanik - MCS70A/MCS70B. Sejarmatta - Starclassic MS20RL14C.",,
50,"In My Pregnant Era 2 Sides Shirt, Pregnancy Sweatshirt, Gift for New Mom, Pregnant Women Tee, Baby Reveal Gift, Mother's Day Gift, Cute New Mom Tee","🔥 Welcome to Our Store! Explore our collection of T-Shirts, Hoodies, and Sweatshirts , designed for ultimate comfort and everyday style. ✨ Why You'll Love Our Products T-Shirts: 100% cotton – soft, breathable, and durable. Hoodies: 50% cotton, 50% polyester – cozy, warm, and stylish. Sweatshirts: 50% cotton, 50% polyester – perfect for layering with a minimalist look. Advanced Printing Technology: Our designs are printed directly on the fabric, ensuring long-lasting and fade-resistant prints. 🌈 Color Chart 📌 Check the color chart below to pick your favorite color: 📏 Size Chart 📌 Refer to the size chart below for the best fit: 🛒 How to Order Check the color and size chart above. Select your size and color from the menu. Add to cart and proceed to checkout. 🚚 Process and Shipping Production Time: 1–3 business days. USA Orders / Standard: 3–7 business days. USA Orders / Rush: 3–5 business days. International Orders: 1–2 weeks. ⚠️ Important Note No returns or exchanges for wrong size choic",,
51,Skateboards Complete 22 Inch Mini Cruiser Retro Skateboard for Kids Boys Youths Beginners,"About This Meketec Unique Technology : The strong 3.25 inch trucks with different color with others skateboarder，let you skateboarding slide more distinctive. Performance : High speed abec 7 meketec Bearings; 60mm Urethane wheels; 22.5 inch long x 6 inch wide deck, max load weight 200 lb. High Value : Meketec Unusual skateboard appearance outperforms many of the leading brands and high cost performance price. Advantage : Take this board on the park, school and road with ease, It’s the best holiday gift for Kids and Adults. Easy to Use: With CE certification, this well-built skateboard is safe to ride and suitable for any level of riders, no matter whether you’re a beginner or experienced rider. Overview Brand : Meketec Color : Pink Age Range (Description) : Kid Skill Level : Beginner Deck Length : 22.5 Inches Deck Width : 5.9 Inches Material : Aluminum, Plastic Wheel Size : 60 Micron Shape : Rectangular prism Wheel Material : Polyurethane",,
52,HALDIRAM S GULABJAMUN 1KG,HALDIRAM S GULABJAMUN 1KG - '8904004405910,,
53,"Air fryer baking tray, silicone tray, oven baking tray",Product name: baking tray mat Classification: Insulation pad Material: Silicone,,
54,FORMAX FD 262 Single-Head Tabber,"The Formax FD 262 Single-Head Tabber makes quick work of applying tabs to folded mailpieces, and is designed to meet all USPS requirements for mailing and automation discounts. Using “crash tab” technology, the open edge of a mailpiece contacts an adhesive tab and travels through a set of rollers where the tab is tightly folded and sealed, creating a mail-ready piece. The FD 262 tabs up to 12,000 pieces per hour (8 1/2” tri-folds), and handles media up to 17” wide, up to 5/32” thick. Its advanced design includes an integrated bottom feeder allowing for continuous operation, and a built-in waste take-up spool to reduce down time. The user-friendly controls include a 5-digit resettable LCD counter and a tab sensitivity control to adjust for tab stock density. Various tab stocks can be used, including translucent, paper, and clear in sizes up to 1 1/2” in diameter. To meet USPS requirements, the mailpiece can be fed through in different directions, to apply tabs in various locations. The ",,
55,Karcher - S4 Twin sweeper,"The Kärcher S 4 Twin sweeper makes light work of all your sweeping tasks, from petals in spring to autumn leaves and winter grit. It collects the sweepings in its 20-litre waste hopper, achieving superb results all around the home and garden. Twin long-bristled side brushes give this effective machine a sweeping width of 680mm, allowing it to sweep up to 2400m² an hour, effortlessly. It cleans right up to the edges, and the side brushes attach without the need for tools. To allow you to work comfortably, the push handle can be adjusted to the exact height you require, so it's kinder to your back. It's also easy to carry and store, collapsing away to save space when needed and with no need to stoop. The waste container can be emptied without coming into contact with the dirt. * 680mm working width * 2400m2/hr * 20 lt waste container * 2 side brushed WHAT'S IN THE BOX: * 1x S4 Twin sweeper",,
56,Wooden Shoe Stretcher,"td, .listing-build-item table tr>th { padding: 10px 14px !important; font-size: 14px !important; border: 1px solid #cbcbcb !important; background-clip: padding-box !important; position: relative !important; letter-spacing:initial !important; text-align: left !important; } .listing-build-item table tr>th { font-weight: 600 !important; } .listing-build-item h3 { color: #000 !important; font-size: 20px !important; font-weight: 600 !important; margin: 0 !important; padding: 10px 0 !important; text-align: left !important; } .listing-build-item table th,.listing-build-item h5{ color:#000 !important; } .listing-build-item ul li, .listing-build-item dl dd, .listing-build-item dl dt { list-style: disc outside !important; margin: 0 0 3px 18px !important; padding:0; } .listing-build-item { margin-bottom: 30px !important; } .listing-build-item ul, .listing-build-item dl { margin: 0 !important; padding:0 !important; list-style:outside none !important } .listing-build-item .img-box { margin: 10px 0 ",,
